Price,Model year,Engine capacity,Mileage,Manual,Hatchback,Saloon,Station wagon,"Diesel, Other fuel type",Petrol,"Petrol, Other fuel type"
3475000,2004,1500,98000,0,0,1,0,0,1,0
1890000,1997,1998,167000,0,0,1,0,0,0,0
3150000,2007,1600,136000,0,0,1,0,0,1,0
2775000,2003,1500,89300,1,0,1,0,0,1,0
650000,1989,1300,235000,1,0,1,0,0,1,0
2325000,2002,1300,20000,1,0,1,0,0,1,0
2000000,1997,1330,118520,1,0,1,0,0,1,0
2995000,2001,1500,135000,0,0,1,0,0,1,0
3175000,2008,1500,107000,0,0,1,0,0,1,0
3550000,2008,1600,82000,0,0,1,0,0,1,0
1075000,1991,1900,120000,1,0,0,1,0,1,0
3375000,2004,1500,190000,0,0,1,0,0,1,0
3250000,2005,1500,135000,0,0,1,0,0,1,0
475000,1987,1300,250000,1,0,0,1,0,1,0
875000,1987,1300,165000,1,0,0,1,0,1,0
3375000,2003,1500,125000,0,0,1,0,0,1,0
3250000,2008,2000,150000,1,0,1,0,0,0,0
1225000,1993,1490,163989,1,0,1,0,0,1,0
1385000,1998,1300,137000,0,1,0,0,0,1,0
2775000,2001,1500,165000,0,0,1,0,0,1,0
1825000,1997,1970,112525,0,0,1,0,0,0,0
3275000,2003,1500,110000,0,0,1,0,0,1,0
2775000,2001,1500,165000,0,0,1,0,0,1,0
2875000,2002,1500,102000,0,0,1,0,0,1,0
1725000,1998,1500,170000,0,0,1,0,0,1,0
1325000,1994,1300,255000,1,0,0,1,0,1,0
2030000,1997,1500,154000,0,0,1,0,0,1,0
3290000,2008,1598,103998,0,0,1,0,0,1,0
3150000,2004,1500,110000,0,0,1,0,0,1,0
375000,1984,1300,230000,1,0,0,1,0,1,0
3375000,2007,1598,136000,0,0,1,0,0,1,0
1210000,1991,1500,220000,1,0,1,0,0,1,0
1695000,1997,1330,116000,0,0,1,0,0,1,0
1850000,1996,1500,135000,0,0,1,0,0,1,0
2950000,2008,1600,128000,1,0,1,0,0,1,0
425000,1973,1200,85000,1,0,1,0,0,1,0
3285000,2003,1500,140400,0,0,1,0,0,1,0
3350000,2008,1590,103000,0,0,1,0,0,1,0
3000000,2007,1500,130000,0,0,1,0,0,1,0
1795000,2000,1500,96000,0,0,1,0,0,1,0
2350000,1999,1500,172500,0,0,1,0,0,1,0
525000,1984,1500,253642,1,1,0,0,0,0,0
490000,1976,1200,51369,1,0,1,0,0,1,0
1380000,1993,1330,250000,1,0,1,0,0,1,0
2490000,2004,1300,135000,1,0,1,0,0,1,0
3100000,2002,1500,98000,1,0,1,0,0,1,0
650000,1986,1290,125000,1,0,1,0,0,1,0
1550000,1996,1300,125000,0,0,1,0,0,1,0
1675000,1996,2000,190000,0,0,1,0,0,0,0
2245000,2000,1500,147000,0,0,1,0,0,1,0
1295000,1992,1300,180000,1,0,1,0,0,1,0
1750000,1996,1970,141553,0,0,1,0,0,0,0
1875000,1997,2000,224000,0,0,1,0,0,0,0
3075000,2008,1600,107000,0,0,1,0,0,1,0
2790000,2000,1590,187000,0,0,1,0,0,1,0
1250000,1992,2000,244000,1,0,0,1,0,0,0
1875000,1997,2000,245000,0,0,1,0,0,0,0
1650000,1997,2000,79000,0,0,0,1,0,0,0
3265000,2008,1600,89150,0,0,1,0,0,1,0
1525000,1996,1970,157146,0,0,0,1,0,0,0
3275000,2008,1600,95000,0,0,1,0,0,1,0
3200000,2007,1590,87000,0,0,1,0,0,1,0
1590000,2001,1300,75000,0,1,0,0,0,1,0
2085000,1999,1330,115800,0,0,1,0,0,1,0
860000,1989,1300,200000,1,0,0,1,0,1,0
665000,1985,1500,75000,1,1,0,0,0,1,0
1590000,1996,1350,220000,0,1,0,0,0,1,0
1590000,1997,2000,258000,1,0,0,1,0,0,0
3600000,2004,1500,139000,0,0,1,0,0,1,0
1250000,1991,1800,150000,1,0,1,0,0,0,0
6975000,2018,1190,1800,0,1,0,0,0,1,0
2825000,2004,1500,96000,0,0,1,0,0,1,0
3295000,2003,1500,138000,0,0,1,0,0,1,0
525000,1978,1290,87000,1,0,1,0,0,1,0
590000,1986,1300,178000,1,0,0,1,0,1,0
3125000,2002,1500,150000,0,0,1,0,0,1,0
3390000,2007,1598,177579,0,0,1,0,0,1,0
1650000,1995,1300,180000,0,0,1,0,0,1,0
675000,1985,1290,120000,1,0,1,0,0,1,0
1075000,1987,1500,203691,1,0,0,1,0,1,0
3050000,2005,1499,198000,0,0,1,0,0,1,0
1745000,1992,1600,128645,1,0,0,0,0,1,0
1525000,1996,1080,200000,1,0,0,1,0,0,0
1575000,1996,1970,90000,0,0,1,0,0,0,0
685000,1987,1300,235000,1,1,0,0,0,1,0
1350000,1996,1500,200000,0,0,0,1,0,1,0
3295000,2003,1500,138000,0,0,1,0,0,1,0
1800000,1997,1500,30000,0,0,1,0,0,1,0
2690000,2000,1500,185000,0,0,1,0,0,1,0
2850000,2004,1500,171000,1,0,1,0,0,1,0
3000000,2002,1500,180000,0,0,1,0,0,1,0
2025000,1997,2000,146000,0,0,1,0,0,0,0
1900000,1996,2000,97000,0,0,1,0,0,0,0
3500000,2003,1500,140000,0,0,1,0,0,1,0
1650000,1996,1800,200000,0,0,1,0,0,0,0
1905000,2000,2000,150000,0,0,1,0,0,0,0
1795000,1996,1500,320000,0,0,1,0,0,1,0
2725000,2006,1300,109000,1,0,1,0,0,1,0
1200000,1991,1500,170000,1,0,0,1,0,0,0
1795000,1996,2000,410000,1,0,1,0,0,0,0
2200000,1997,1970,124847,0,0,1,0,0,0,0
1650000,1994,1350,158515,1,0,1,0,0,1,0
1775000,1996,1500,190000,0,0,1,0,0,1,0
3375000,2007,1598,112000,0,0,1,0,0,1,0
295000,1973,1200,73000,1,0,1,0,0,1,0
1200000,1991,1800,150000,1,0,0,1,0,0,0
3375000,2007,1598,112000,0,0,1,0,0,1,0
2175000,1997,1970,240743,0,0,1,0,0,0,0
2775000,2003,1500,147000,0,0,1,0,0,1,0
1500000,1993,1970,38000,1,0,1,0,0,0,0
1990000,1997,1500,190000,0,0,1,0,0,1,0
1675000,1997,2000,220000,0,0,0,1,0,0,0
2850000,2002,1500,160000,0,0,1,0,0,1,0
1800000,1995,1500,300000,1,0,1,0,0,1,0
2850000,2002,1500,143000,0,0,1,0,0,1,0
270000,1976,1200,211000,1,0,1,0,0,1,0
1970000,1999,1500,217000,1,0,1,0,0,1,0
3075000,2008,1600,105000,0,0,1,0,0,1,0
6350000,2017,1500,32000,0,0,1,0,0,1,0
2975000,2000,1500,120000,0,0,1,0,0,1,0
665000,1988,1300,165000,1,0,1,0,0,1,0
2800000,2000,1500,119000,0,0,1,0,0,1,0
3075000,2008,1600,105000,0,0,1,0,0,1,0
485000,1984,1300,22785,1,0,0,1,0,1,0
3650000,2008,1600,150000,0,0,1,0,0,1,0
1490000,1996,2000,180200,0,0,0,1,1,0,0
995000,1991,1300,143000,1,0,0,1,0,1,0
2650000,2003,1300,240000,1,1,0,0,0,1,0
1150000,1995,2000,180000,1,0,1,0,0,0,0
3500000,2008,1600,32500,0,0,1,0,0,0,1
3725000,2005,1500,170000,0,0,1,0,0,1,0
1350000,1996,1300,200000,1,1,0,0,0,1,0
3090000,2001,1490,212053,0,0,1,0,0,1,0
1895000,1997,1990,156000,0,0,1,0,0,0,0
2785000,2004,1500,135000,0,0,1,0,0,1,0
1250000,1990,1500,173000,1,0,1,0,0,1,0
1690000,1991,1500,175000,1,1,0,0,0,1,0
1735000,1999,1500,168900,0,0,0,1,0,1,0
1550000,1997,1970,208000,0,0,0,1,0,0,0
2350000,1997,1500,140000,0,0,1,0,0,1,0
3090000,2001,1490,212053,0,0,1,0,0,1,0
740000,1984,1200,150000,1,0,1,0,0,1,0
1850000,1994,1500,150000,0,0,1,0,0,1,0
2100000,1999,1500,162500,1,0,1,0,0,1,0
3200000,2007,1600,92000,0,0,1,0,0,1,0
2130000,1997,1490,199703,0,0,1,0,0,1,0
2775000,2006,1300,175000,1,0,1,0,0,1,0
715000,1984,1300,220000,1,0,1,0,0,1,0
2150000,1997,1500,200000,0,0,1,0,0,1,0
2695000,2001,1500,200000,0,0,1,0,0,1,0
2525000,2001,1500,88000,1,0,1,0,0,1,0
1475000,1997,1997,234000,1,0,0,1,0,0,0
2975000,2008,1590,100000,0,0,1,0,0,1,0
550000,1987,1300,180000,1,0,0,1,0,1,0
1325000,1996,1970,250000,0,1,0,0,0,0,0
2825000,2000,1590,219000,1,0,1,0,0,1,0
2975000,2008,1590,100000,0,0,1,0,0,1,0
1765000,1997,2000,147977,0,0,1,0,0,0,0
1550000,1992,1330,125000,1,0,1,0,0,1,0
3100000,2003,1500,185000,0,0,1,0,0,1,0
3125000,2002,1500,161000,0,0,1,0,0,1,0
2175000,1997,2000,350000,0,0,1,0,0,0,0
3175000,2004,1500,110000,0,0,1,0,0,1,0
1400000,1993,1330,215000,1,1,0,0,0,1,0
1655000,1992,2000,129000,1,0,1,0,0,1,0
390000,1986,1400,230000,1,1,0,0,0,1,0
1150000,1990,1290,130000,0,0,0,1,0,1,0
2850000,2002,1497,225000,0,0,1,0,0,1,0
1150000,1990,1330,317258,1,0,0,1,0,0,0
635000,1987,1290,100000,1,0,0,1,0,1,0
1650000,1996,2000,260000,0,0,1,0,0,0,0
1995000,1998,1500,161000,1,0,1,0,0,1,0
700000,1986,1300,201500,1,0,0,1,0,1,0
1250000,1991,1500,225000,1,0,1,0,0,1,0
3050000,2001,1500,230000,0,0,1,0,0,1,0
3200000,2002,1500,160000,0,0,1,0,0,1,0
3575000,2007,2000,110000,1,0,1,0,0,0,0
3150000,2004,1500,115000,0,0,1,0,0,1,0
2050000,1997,2000,98000,0,0,1,0,0,0,0
1410000,1996,1300,135862,0,1,0,0,0,1,0
3300000,2008,1598,130000,0,0,1,0,0,1,0
1435000,1996,1970,150000,1,0,1,0,0,0,0
3575000,2007,2000,110000,1,0,1,0,0,0,0
3400000,2004,1500,134000,0,0,1,0,0,1,0
3075000,2002,1500,129000,0,0,1,0,0,1,0
3150000,2008,1598,160000,0,0,1,0,0,1,0
2375000,2000,1300,72000,0,0,1,0,0,1,0
1425000,1994,1300,190000,1,0,1,0,0,1,0
1965000,1997,2000,162000,0,0,1,0,0,0,0
1965000,1997,2000,162000,0,0,1,0,0,0,0
765000,1986,1300,220000,1,0,0,1,0,1,0
1965000,1997,2000,162000,0,0,1,0,0,0,0
2700000,2004,1300,165000,1,0,1,0,0,1,0
2100000,2000,1500,200000,0,0,1,0,0,1,0
